title,year,month,day,pubDate,link,description,image_url,image_caption,cluster,Emoción
Olvidados pluriseculares,2023,8,1,2019-12-30T13:12:13-00:00,https://www.proceso.com.mx/estro-armonico/2019/12/30/olvidados-pluriseculares-236464.html,,https://www.proceso.com.mx/u/fotografias/m/2020/5/8/f300x190-114549_122709_5050.jpg,,1,🥺
Allons enfants al grito de guerra,2023,8,1,2019-12-18T08:21:14-00:00,https://www.proceso.com.mx/estro-armonico/2019/12/18/allons-enfants-al-grito-de-guerra-235960.html,,https://www.proceso.com.mx/u/fotografias/m/2020/5/8/f300x190-114549_122709_5050.jpg,,0,😍
De los desiertos  y las deserciones,2023,8,1,2019-12-02T13:43:15-00:00,https://www.proceso.com.mx/estro-armonico/2019/12/2/de-los-desiertos-las-deserciones-235168.html,,https://www.proceso.com.mx/u/fotografias/m/2020/5/8/f300x190-114549_122709_5050.jpg,,1,🥺
Música y violencia  (Segunda y última parte),2023,8,1,2019-11-19T18:21:16-00:00,https://www.proceso.com.mx/estro-armonico/2019/11/19/musica-violencia-segunda-ultima-parte-234506.html,,https://www.proceso.com.mx/u/fotografias/m/2020/5/8/f300x190-114549_122709_5050.jpg,,1,❤
Música y violencia  (Primera de dos partes),2023,8,1,2019-11-04T16:19:17-00:00,https://www.proceso.com.mx/estro-armonico/2019/11/4/musica-violencia-primera-de-dos-partes-233773.html,,https://www.proceso.com.mx/u/fotografias/m/2020/5/8/f300x190-114549_122709_5050.jpg,,3,❤
Una doliente fama postmortem,2023,8,1,2019-10-21T14:58:18-00:00,https://www.proceso.com.mx/estro-armonico/2019/10/21/una-doliente-fama-postmortem-233037.html,,https://www.proceso.com.mx/u/fotografias/m/2020/5/8/f300x190-114549_122709_5050.jpg,,0,❤
Elegía con flores y cantos,2023,8,1,2019-10-07T17:09:19-00:00,https://www.proceso.com.mx/estro-armonico/2019/10/7/elegia-con-flores-cantos-232283.html,,https://www.proceso.com.mx/u/fotografias/m/2020/5/8/f300x190-114549_122709_5050.jpg,,1,🥺
Brahms y el ego,2023,8,1,2019-09-23T11:48:20-00:00,https://www.proceso.com.mx/estro-armonico/2019/9/23/brahms-el-ego-231544.html,,https://www.proceso.com.mx/u/fotografias/m/2020/5/8/f300x190-114549_122709_5050.jpg,,1,❤
"Presentan la Plataforma Ayotzinapa, un acto de 'solidaridad con las víctimas, familias y la sociedad&quot;",2023,8,2,2017-09-07T19:41:01-00:00,https://www.proceso.com.mx/plataforma-ayotzinapa/2017/9/7/presentan-la-plataforma-ayotzinapa-un-acto-de-solidaridad-con-las-victimas-familias-la-sociedad-191017.html,,https://www.proceso.com.mx/u/fotografias/m/2017/9/7/f300x190-72846_81006_5050.jpg,,2,❤
Ayotzinapa: el mapa interactivo de la tragedia,2023,8,2,2017-09-07T11:18:02-00:00,https://www.proceso.com.mx/plataforma-ayotzinapa/2017/9/7/ayotzinapa-el-mapa-interactivo-de-la-tragedia-190957.html,,https://www.proceso.com.mx/u/fotografias/m/2017/9/7/f300x190-72846_81006_5050.jpg,,0,🥺
